,bottom,shoes
N06137,3599069,3606119
N15122,4069351,4075281
N06235,3476559,3465369
N07055,3377979,3381109
N09133,3486879,3410609
N02935,2500958,2584528
N03216,2523938,2689818
N06627,3342579,3434699
N10118,3943441,4011061
N05295,2938708,2947908
N05213,3202039,3202189
N08778,3578829,3355939
N00969,2727388,2634178
N05047,2587678,2590128
N07666,3425639,3428289
N07265,3511129,3501549
N05536,3583099,3654899
N00349,2777238,2778028
N07979,3596659,3654899
N06943,3394919,3381629
N06497,3334079,3330579
N03932,2475938,2476638
N10452,3836841,4038421
N02584,2787448,2514438
N08134,3506739,3381339
N09025,3791109,3225879
N08364,3593439,3606099
N14713,4405921,4105071
N02142,2762358,2625548
N10999,4124691,4014541
N07379,3545829,3305069
N09953,4036621,3720129
N09533,3910441,3914621
N09147,3430319,3434259
N00790,2785278,2545348
N06984,3362669,3365079
N08654,3486009,3486409
N01225,2564538,2597898
N04977,2952298,2559948
N11831,4408261,3992161
N01893,2378897,2698628
N10602,4016511,4014911
N09409,4000341,3882581
N14387,4165111,4018261
N14878,4066601,3944941
N11862,4154141,3917161
N05911,3486549,3804419
N07829,3754609,3501359
N00491,2503908,2514588
N11187,4104231,4015051
N03131,2135167,2575958
N04557,2475938,2905408
N10912,4075811,4221481
N01782,2917138,2917408
N04159,2783008,2731098
N03876,2453418,2453808
N08725,3709469,3398359
N01020,2605758,2526788
N06807,3692049,3302599
N07974,3592989,3336399
N04990,2475938,2476578
N02207,2623458,2664108
N04598,3004238,2916758
N00980,2842268,2728008
N07009,3362719,3365819
N08915,3487309,3450089
N00939,2771458,2771708
N03748,2417377,2515528
N06291,3417889,3400909
N06276,3699889,3400869
N02543,2605758,2545348
N00750,2542348,2804758
N01097,2527368,2528188
N09981,3956811,3926511
N10315,3915851,3917891
N07576,3423629,3291819
N00112,2500548,2654358
N06805,3426189,3446109
N10874,4021381,3850441
N00865,2908858,2590488
N03417,2592108,2551178
N03983,2833858,2430468
N01609,3037428,3100018
N11592,4032531,4017851
N07546,3519159,3519589
N10398,4004691,3974751
N10613,3972401,3965191
N03371,2605758,2510778
N09197,3426989,3356459
N07957,3603199,3442219
N04634,2982608,2713738
N05994,3384719,3344789
N14907,3963001,3867111
N05353,3428559,3356009
N04052,2332997,2333207
N05401,3427039,3398619
N02576,2761028,2760328
N05390,3511069,3448699
N00414,2536768,2536548
N08606,3365269,3355959
N10865,4405921,3955511
N08117,3367679,3379009
N11222,4152071,3926511
N05115,2594078,2747218
N04456,3023728,2711108
N06639,3353229,3225959
N05362,3784709,2929618
N10699,3941401,4275581
N00623,2820528,2580188
N10287,3957221,3926511
N01962,2755958,2559958
N10747,4185201,3720109
N08670,4034931,3344829
N04297,2911458,2899758
N03828,2553228,2574628
N09342,3882141,3400789
N09124,3491719,3358559
N15084,4013831,3903451
N02036,2476748,2575608
N10750,4185191,3720109
N02112,2642568,2509668
N07904,3732309,3398359
N06986,3750439,3733379
N02819,2778508,2523428
N01667,2849858,2900438
N07864,3365299,3429919
N06102,3462269,3606119
N03486,2320247,2545218
N11117,4001671,3892241
N03662,2471028,2471778
N10162,3870791,3962151
N10984,4188511,3720129
N05718,3640429,3356629
N05929,3350149,3899031
N04963,2952208,2428258
N08723,3709359,3398289
N03415,2604258,2719088
N06408,3670149,3356689
N07082,3377919,3381029
N05566,3637579,3348519
N11714,4020251,3917941
N07306,3533799,3439009
N07011,3750439,3733569
N02274,2761028,2760338
N08970,3458509,3449209
N11021,4014051,3946911
N11823,4418571,3992091
N02457,2777508,2778008
N11274,3995631,3994341
N10411,3852161,3917921
N14710,4104081,4105071
N10180,4000361,3991711
N05365,3784809,2929618
N14252,4320841,4378771
N08271,3729539,3385249
N02853,2823008,2712298
N06307,3774899,3567019
N11591,4164831,3933311
N15002,4253281,3481819
N07437,3463029,3479159
N02620,2643938,2657578
N07042,3378019,3381059
N02147,2748008,2512238
N06113,3599069,3194719
N06852,3259469,3734149
N09876,4018961,3965201
N05429,3602249,3434309
N03166,2621868,2661718
N09557,4032051,3886991
N01146,2570368,2718768
N06225,3476569,3359319
N07246,3511049,3501359
N01877,2987198,3005108
N11299,3959791,3962481
N06597,3377979,3899041
N06436,3670569,3409099
N03777,2913098,2584608
N09151,3804199,3804429
N02669,2774098,2712978
N01597,3643609,3078678
N07687,3433549,3398359
N01405,3119268,2924568
N04957,2908438,2905708
N08093,3557249,3510229
N00432,2515148,2487428
N06084,3793819,3804429
N08976,3770079,3770659
N08941,3579809,3450139
N00684,3004228,3037788
N10625,4154141,3992161
N11052,4230681,4646181
N10934,3978781,3967231
N07810,3507969,3509389
N16276,3861791,3867111
N00320,2564518,2747188
N00912,2779958,2698628
N04280,3017288,2908698
N02202,2542348,2551488
N10174,3870751,4017351
N14602,4061941,4429821
N00514,3029778,2922488
N04027,2538498,2689508
N11116,4001331,3892241
N07716,3756959,3755339
N03620,2707768,2472098
N16394,3951431,4007051
N08629,3830241,3606099
N03849,2598788,2332487
N08714,3340699,2922538
N00242,2553868,2418477
N00766,2542558,2531558
N09012,3709539,3367499
N08353,3337079,3606099
N06973,3342579,3339509
N05283,3236649,3238179
N01499,3221829,2902768
N08696,3816129,3385029
N06601,3729069,3899041
N11141,4012551,4276091
N03642,2550168,2510848
N11676,4154501,4275491
N15218,3817239,3830951
N10266,3954551,4007011
N11105,4275821,3965191
N00600,2630518,2661718
N11017,3943441,3992051
N09008,3400509,3398289
N01646,3004388,3005498
N01668,2849868,2861118
N07507,3455799,3408579
N14302,4355101,4105071
N07960,3595969,3400859
N07349,3439779,3446269
N02671,2553288,2575908
N11334,4444121,3991801
N10030,3955321,3987631
N03708,2491128,2514138
N06529,3333969,3434289
N00972,2790278,2829308
N01993,2645738,2766128
N11450,3920591,3970031
N06256,3389429,3400769
N14444,4055061,3946921
N14815,4138251,4138891
N05882,3527279,3526739
N10122,3943441,3926511
N14839,3926131,3935121
N03133,2135167,2536188
N01026,2762658,2747468
N11185,3995941,4017861
N09223,3566389,3302669
N10350,4082931,4275401
N14222,4171881,3934501
N04986,2492928,2821248
N01214,2548438,2627348
N07861,3366399,3429909
N00309,2765028,2755348
N06254,3699989,3699519
N11635,3910791,3931491
N00724,2576248,2583518
N10437,3947821,3931471
N11860,3915481,3917161
N14803,4096841,4098391
N02687,2765488,2772988
N01439,2908228,2899588
N04135,2765618,2760338
N06929,3384869,3354269
N00906,2579398,2713738
N04582,3023848,2509708
N06561,3753269,3763889
N01903,2820338,2929738
N08755,3543919,3545219
N03409,2842288,2725988
N00247,2835168,2800928
N06773,3780539,3495879
N04014,2783008,2596688
N03939,2463958,2428348
N03377,2587678,2590178
N01599,2893848,2890868
N14339,3976011,3956101
N06466,3783249,3356029
N09955,3941311,3933311
N00232,2748958,2814328
N14017,3896971,4383841
N04146,2785298,2712298
N01966,3184999,2750498
N00328,2453198,2453678
N12431,3906581,3926391
N11281,3995691,3994411
N11343,4004931,3991741
N10562,3930321,4015051
N02759,2748078,2428208
N04605,2923558,2513858
