bottom,shoes
1698583,"[2334957, 2333197, 2333177]"
1994943,[2333167]
2084497,[2436648]
2113317,"[2584618, 2487428, 2494038]"
2127217,[2132287]
2127387,[2531508]
2127487,[2379217]
2134137,"[2689908, 2562288]"
2134157,[1825203]
2134727,[2770768]
2135007,[2472098]
2135167,"[2575958, 2536188]"
2145217,"[2145277, 2505188]"
2217317,[2787768]
2263267,[2263647]
2275607,[2957758]
2284097,[2531348]
2320247,"[2545218, 2850758, 2544928, 2545048]"
2332997,"[2333207, 2333167, 2750858, 2750868]"
2335357,"[2764958, 2682688, 2747058, 3053008, 2747078, 2780918]"
2343497,[2424368]
2343567,[2713728]
2378597,[2804758]
2378897,"[2698628, 2779008]"
2380657,"[2804758, 2803618]"
2401077,"[2574328, 2814328]"
2417377,"[2515528, 2515518, 2526618]"
2419277,"[2551388, 2551178, 2512008]"
2419287,"[2759768, 2551008]"
2419297,[2747918]
2428408,"[2597938, 2433278, 2713728, 2888088, 2597898]"
2429398,[2436648]
2453188,"[2453738, 2453718]"
2453198,[2453678]
2453218,[2453678]
2453238,[2453708]
2453248,[2453688]
2453268,[2453708]
2453278,[2453968]
2453288,[2453968]
2453298,[2453828]
2453308,"[2584318, 2464758, 2453768, 2453758, 2453718, 2574598, 2453738, 2453788, 2453808, 2641758, 2523428]"
2453318,"[2575188, 2453738]"
2453418,[2453808]
2454648,"[2781148, 2453798]"
2460868,"[2424418, 2424288]"
2460908,[2460468]
2462058,[2814328]
2462188,[2424288]
2463448,"[2567658, 2433278]"
2463548,[2510718]
2463958,[2428348]
2468398,[2575018]
2468498,"[2468488, 2820078, 2788448]"
2468508,"[2677558, 2468478]"
2468548,[2803588]
2471008,"[2814328, 2929738, 2814288]"
2471018,"[2814298, 2471838, 2471978, 2471948]"
2471028,"[2471778, 2472118]"
2475118,"[2472348, 2471588, 2471378, 2471948]"
2475918,[2476628]
2475938,"[2476638, 2905408, 2476578, 2476558, 2476678, 2476648, 2773438, 2773448]"
2476748,"[2575608, 2834948, 2509708, 2899768, 2803688, 2485548, 2899758, 2905588, 2485588]"
2476788,"[2957778, 2477988]"
2476838,"[2477988, 2860928]"
2476938,[2477348]
2476988,[2803698]
2477018,"[2477448, 2477268]"
2478128,[2478958]
2478168,[2698628]
2480518,[2526668]
2480608,[2486448]
2481598,"[2486608, 2580198, 2803538]"
2481638,"[2486348, 2487278]"
2484388,[2485258]
2487038,[2718928]
2487048,[2642828]
2487058,[2498008]
2487068,"[2536188, 2782048, 2789178, 2326987, 2514138, 2493728, 2485318]"
2487078,[2485678]
2488238,"[2436668, 2376387]"
2489938,"[2796708, 2485698]"
2490028,[2485698]
2490068,[2747918]
2490368,"[2512918, 2485638, 2512778]"
2490378,"[2486668, 2510848, 2486708, 2486698, 2575568]"
2491128,"[2514138, 2436668]"
2491428,[2436648]
2491828,[2575568]
2491918,"[2820048, 2496678]"
2492088,[2514138]
2492928,"[2821248, 2512238, 2889398, 2494018, 2551308, 2493958, 2905568, 2905678]"
2492938,"[2666608, 2659038]"
