,bot,shoes
N06137,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3599069.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3606119.jpg
N15122,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4069351.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4075281.jpg
N06235,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3476559.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3465369.jpg
N07055,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3377979.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3381109.jpg
N09133,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3486879.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3410609.jpg
N02935,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2500958.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2584528.jpg
N03216,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2523938.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2689818.jpg
N06627,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3342579.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3434699.jpg
N10118,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3943441.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4011061.jpg
N05295,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2938708.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2947908.jpg
N05213,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3202039.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3202189.jpg
N08778,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3578829.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3355939.jpg
N00969,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2727388.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2634178.jpg
N05047,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2587678.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2590128.jpg
N07666,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3425639.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3428289.jpg
N07265,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3511129.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3501549.jpg
N05536,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3583099.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3654899.jpg
N00349,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2777238.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2778028.jpg
